Medicamento;Indicação;Dosagem/Apresentação
tobramicina;Fibrose Cística - Manifestações Pulmonares;300 mg/5 mL solução para inalação.
tocilizumabe;Artrite idiopática juvenil;20mg/ml injetável – frasco-ampola de 4ml
tocilizumabe;Artrite Reumatoide;20mg/ml injetável – frasco-ampola de 4ml
tofacitinibe;Artrite Psoríaca;5 mg – comprimido
tofacitinibe;Artrite Reumatóide;5 mg – comprimido
tofacitinibe;Retocolite Ulcerativa;5 mg – comprimido revestido
topiramato;Epilepsia;25 mg, 50 mg e 100 mg – comprimido
toxina botulínica tipo a;Distonias e Espasmo Hemifacial;100 UI e 500 UI injetável – frasco-ampola
toxina botulínica tipo a;Espasticidade;100 UI e 500 UI injetável – frasco-ampola
travoprosta;Glaucoma;0,04 mg/ml solução oftálmica – frasco de 2,5mL
trientina;Doença de Wilson;250 mg – cápsula
triexifenidil;Doença de Parkinson;5 mg – comprimido
triptorrelina;Endometriose;3,75 mg e 11,25 mg injetável – frasco-ampola
triptorrelina;Leiomioma de útero;3,75 mg e 11,25 mg injetável – frasco-ampola
triptorrelina;Puberdade Precoce Central;3,75 mg, 11,25 mg e 22,5 mg (pó para suspensão injetável).
umeclidínio + vilanterol;DPOC;Brometo de Umeclidineo 62,5mcg + Trifenatato de Vilanterol 25mcg (pó inalante)
upadacitinibe;Artrite Reumatóide;15 mg – comprimido revestido de liberação prolongada.
ustequinumabe;Psoríase;45mg/0,5ml injetável – seringa preenchida
vedolizumabe;Retocolite Ulcerativa;300 mg/ml injetável – frasco-ampola
vigabatrina;Epilepsia;500 mg – comprimido
ziprasidona;Esquizofrenia;40 mg e 80 mg – cápsula
ziprasidona;Transtorno Esquizoafetivo;40 mg e 80 mg – cápsula
ácido ursodesoxicólico;Colangite Biliar Primária;50 mg, 150 mg e 300 mg – comprimido
ácido zoledrônico;Doença de Paget;5 mg/100 mL - frasco com 100 mL de solução
ácido zoledrônico;Osteoporose;5 mg/100 mL - frasco com 100 mL de solução
