Medicamento;Dosagem
risperidona;1 mg/mL solução oral
risperidona;2 mg
risperidona;3 mg
rituximabe;500 mg injetável
rivastigmina;1,5 mg
rivastigmina;3 mg
rivastigmina;4,5 mg
rivastigmina;6 mg
sacarato de hidróxido férrico;100 mg injetável
sacubitril valsartana;100 mg
sacubitril valsartana;200 mg
sacubitril valsartana;50 mg
sapropterina;100 mg
secuquinumabe;150 mg/mL solução injetável
selexipague;1000 mcg
selexipague;1200 mcg
selexipague;1400 mcg
selexipague;200 mcg
selexipague;400 mcg
selexipague;600 mcg
selexipague;800 mcg
sevelamer;800 mg
sildenafila;20 mg
sildenafila;25 mg
sildenafila;50 mg
sirolimo;1 mg
sirolimo;2 mg
somatropina;1,33 mg solução injetável
somatropina;4 UI solução injetável
sulfassalazina;500 mg
tacrolimo;1 mg
tacrolimo;5 mg
tafamidis;20 mg
tafamidis;61 mg
teriflunomida;14 mg
timolol;5,0 mg/mL solução oftálmica
tiotrópio + olodaterol;2,5 mcg + 2,5 mcg
tobramicina;300 mg solução para inalação
tocilizumabe;20 mg/mL injetável
tofacitinibe;5 mg
topiramato;100 mg
topiramato;25 mg
topiramato;50 mg
toxina botulínica tipo a;100 UI injetável
toxina botulínica tipo a;500 UI injetável
travoprosta;0,04 mg/mL solução oftálmica
trientina;250 mg
triexifenidil;5 mg
triptorrelina;11,25 mg injetável
triptorrelina;11,25 mg pó para suspensão injetável
triptorrelina;22,5 mg pó para suspensão injetável
triptorrelina;3,75 mg injetável
triptorrelina;3,75 mg pó para suspensão injetável
umeclidínio + vilanterol;62,5 mcg + 25 mcg
upadacitinibe;15 mg
ustequinumabe;45 mg injetável
vedolizumabe;300 mg/mL injetável
vigabatrina;500 mg
ziprasidona;40 mg
ziprasidona;80 mg
ácido ursodesoxicólico;150 mg
ácido ursodesoxicólico;300 mg
ácido ursodesoxicólico;50 mg
ácido zoledrônico;5 mg
